timestamp,x,y,z,vx,vy,vz,speed
9.8320,-4.3750,2.2250,0.1750,-0.0015,-0.0024,0.3045,0.3045
9.8320,-3.7250,3.3750,0.0750,-0.0418,-0.0364,0.2607,0.2665
9.8320,-3.4750,-4.4750,0.5750,0.0354,0.0113,-0.2033,0.2066
9.8320,-5.4750,-4.4250,0.6750,0.0173,0.0107,-0.2851,0.2858
9.8320,-4.3750,2.2250,0.2750,0.0154,0.0279,0.2665,0.2684
9.8320,-3.7250,3.3750,0.1750,-0.0019,0.0270,0.2439,0.2454
9.8320,-2.9250,4.5250,0.0750,-0.0515,-0.0374,0.2002,0.2101
9.8320,-3.7250,3.3750,0.2750,0.0292,0.0748,0.2134,0.2280
9.8320,-3.4250,3.8750,0.5250,-0.0300,-0.0646,-0.1948,0.2074
9.8320,-4.7750,1.5750,0.0750,-0.0048,-0.0416,-0.2387,0.2423
9.8320,-0.7750,-1.7750,-0.0750,-0.0925,-0.2922,-0.0007,0.3065
9.8320,-3.5250,3.6750,-0.0250,-0.0826,-0.1039,-0.1750,0.2197
9.8320,-1.7250,0.8750,-0.0750,0.2857,-0.1620,0.0002,0.3284
9.8320,-1.0750,1.6750,-0.0750,-0.1704,0.1426,0.0067,0.2223
9.8320,-1.4750,1.3250,-0.0750,-0.2884,0.1904,0.0063,0.3456
9.8320,-0.7250,1.8250,-0.0750,0.0391,-0.1967,0.0034,0.2005
9.8320,0.9250,2.6250,-0.0750,-0.0549,0.3061,-0.0014,0.3110
9.8320,-0.9250,1.7250,-0.0750,-0.2012,0.2931,0.0030,0.3555
9.8320,-8.3750,1.0750,-0.0250,-0.0113,-0.0477,0.2018,0.2077
9.8320,-0.4750,1.9250,-0.0750,-0.1128,0.3026,0.0009,0.3230
9.8320,-0.9750,2.1750,-0.0750,-0.2043,0.0858,0.0005,0.2216
9.8320,-0.6750,2.1250,-0.0750,-0.2108,0.2178,0.0085,0.3032
9.8320,-0.7250,-2.0750,-0.0750,0.0041,-0.3374,-0.0055,0.3374
9.8320,-1.7750,-0.8750,-0.0750,0.1981,0.0745,-0.0049,0.2117
9.8320,-1.9250,-0.6750,-0.0750,0.1976,0.0463,-0.0030,0.2030
9.8320,-1.9250,-0.1250,-0.0750,0.2225,0.0069,0.0020,0.2226
9.8320,-1.9750,0.1250,-0.0750,0.3007,-0.0301,0.0018,0.3022
9.8320,-2.0250,0.3250,-0.0750,0.3301,-0.0808,0.0068,0.3399
9.8320,-1.9750,-0.0250,-0.0750,-0.3764,-0.0222,0.0046,0.3771
9.8320,-1.9250,0.1750,-0.0750,-0.2665,0.0155,0.0007,0.2670
9.8320,-1.6250,1.2750,-0.0750,0.1159,-0.1695,0.0082,0.2055
9.8320,-1.9250,0.4750,-0.0750,-0.2311,0.0343,0.0063,0.2337
9.8320,-1.6250,1.0750,-0.0750,-0.2697,0.1505,0.0018,0.3089
9.8320,-1.3250,1.6250,-0.0750,-0.1900,0.0983,0.0059,0.2140
9.8320,-2.5250,0.7250,-0.0750,0.2354,-0.1235,0.0044,0.2658
10.8320,-1.0750,4.5750,0.0750,-0.0601,-0.0216,-0.2999,0.3066
10.8320,-0.3750,4.5750,0.0750,-0.0632,-0.0030,0.2240,0.2327
